Sigla;Código;Município;INPC - capitais - índice (dez. 1993=100) (2023.01);Cesta básica - feijão - preço mensal - INATIVA (2023.01);Cesta básica - arroz - preço mensal - INATIVA (2023.01);Cesta básica - pão - preço mensal - INATIVA (2023.01);Cesta básica - café - preço mensal - INATIVA (2023.01);
MG;3100104;Abadia dos Dourados;;;;;;
MG;3100203;Abaeté;;;;;;
MG;3100302;Abre Campo;;;;;;
MG;3100401;Acaiaca;;;;;;
MG;3100500;Açucena;;;;;;
MG;3100609;Água Boa;;;;;;
MG;3100708;Água Comprida;;;;;;
MG;3100807;Aguanil;;;;;;
MG;3100906;Águas Formosas;;;;;;
MG;3101003;Águas Vermelhas;;;;;;
MG;3101102;Aimorés;;;;;;
MG;3101201;Aiuruoca;;;;;;
MG;3101300;Alagoa;;;;;;
MG;3101409;Albertina;;;;;;
MG;3101508;Além Paraíba;;;;;;
MG;3101607;Alfenas;;;;;;
MG;3101631;Alfredo Vasconcelos;;;;;;
MG;3101706;Almenara;;;;;;
MG;3101805;Alpercata;;;;;;
MG;3101904;Alpinópolis;;;;;;
MG;3102001;Alterosa;;;;;;
MG;3102050;Alto Caparaó;;;;;;
MG;3102100;Alto Rio Doce;;;;;;
MG;3102209;Alvarenga;;;;;;
MG;3102308;Alvinópolis;;;;;;
MG;3102407;Alvorada de Minas;;;;;;
MG;3102506;Amparo do Serra;;;;;;
MG;3102605;Andradas;;;;;;
MG;3102704;Cachoeira de Pajeú;;;;;;
MG;3102803;Andrelândia;;;;;;
MG;3102852;Angelândia;;;;;;
MG;3102902;Antônio Carlos;;;;;;
MG;3103009;Antônio Dias;;;;;;
MG;3103108;Antônio Prado de Minas;;;;;;
MG;3103207;Araçaí;;;;;;
MG;3103306;Aracitaba;;;;;;
MG;3103405;Araçuaí;;;;;;
MG;3103504;Araguari;;;;;;
MG;3103603;Arantina;;;;;;
MG;3103702;Araponga;;;;;;
MG;3103751;Araporã;;;;;;
MG;3103801;Arapuá;;;;;;
MG;3103900;Araújos;;;;;;
MG;3104007;Araxá;;;;;;
MG;3104106;Arceburgo;;;;;;
MG;3104205;Arcos;;;;;;
MG;3104304;Areado;;;;;;
MG;3104403;Argirita;;;;;;
MG;3104452;Aricanduva;;;;;;
MG;3104502;Arinos;;;;;;
MG;3104601;Astolfo Dutra;;;;;;
MG;3104700;Ataléia;;;;;;
MG;3104809;Augusto de Lima;;;;;;
MG;3104908;Baependi;;;;;;
MG;3105004;Baldim;;;;;;
MG;3105103;Bambuí;;;;;;
MG;3105202;Bandeira;;;;;;
MG;3105301;Bandeira do Sul;;;;;;
MG;3105400;Barão de Cocais;;;;;;
MG;3105509;Barão de Monte Alto;;;;;;
MG;3105608;Barbacena;;;;;;
MG;3105707;Barra Longa;;;;;;
MG;3105905;Barroso;;;;;;
MG;3106002;Bela Vista de Minas;;;;;;
MG;3106101;Belmiro Braga;;;;;;
MG;3106200;Belo Horizonte;6780,54;;;;;
MG;3106309;Belo Oriente;;;;;;
MG;3106408;Belo Vale;;;;;;
MG;3106507;Berilo;;;;;;
MG;3106606;Bertópolis;;;;;;
MG;3106655;Berizal;;;;;;
MG;3106705;Betim;;;;;;
MG;3106804;Bias Fortes;;;;;;
MG;3106903;Bicas;;;;;;
MG;3107000;Biquinhas;;;;;;
MG;3107109;Boa Esperança;;;;;;
MG;3107208;Bocaina de Minas;;;;;;
MG;3107307;Bocaiúva;;;;;;
MG;3107406;Bom Despacho;;;;;;
MG;3107505;Bom Jardim de Minas;;;;;;
MG;3107604;Bom Jesus da Penha;;;;;;
MG;3107703;Bom Jesus do Amparo;;;;;;
MG;3107802;Bom Jesus do Galho;;;;;;
MG;3107901;Bom Repouso;;;;;;
MG;3108008;Bom Sucesso;;;;;;
MG;3108107;Bonfim;;;;;;
MG;3108206;Bonfinópolis de Minas;;;;;;
MG;3108255;Bonito de Minas;;;;;;
MG;3108305;Borda da Mata;;;;;;
MG;3108404;Botelhos;;;;;;
MG;3108503;Botumirim;;;;;;
MG;3108552;Brasilândia de Minas;;;;;;
MG;3108602;Brasília de Minas;;;;;;
MG;3108701;Brás Pires;;;;;;
MG;3108800;Braúnas;;;;;;
MG;3108909;Brasópolis;;;;;;
